cod_ubicacion,cod_sector,empleo,excedente,insumos_intermedios_domesticos,insumos_intermedios_importados,exportaciones,ventas_intermedias,ventas_domesticas,produccion_bruta,insumos_intermedios_totales,valor_agregado,remuneraciones,ventas_consumo_final
3.0,6.0,0.4425668120384216,80.72798579367614,39730.80278908975,25450.695451431493,17.951063731715106,11336.681263320346,76219.72912645928,76237.6801912028,65181.49824052124,11056.181950681572,10975.453964887894,64883.04786415075
3.0,7.0,0.0630888268351554,716.7930489888214,2697.01337220824,262.5539424030661,976.036897839668,2958.894580553178,2958.894580553178,3934.9314783928457,2959.5673146113063,975.364162769722,258.57111479271794,0.0
3.0,8.0,0.4226163923740387,6831.941434286809,24578.461030122005,4102.230232549346,7592.485239169594,31535.703723518363,35256.46224116512,42848.94748033472,28680.691262671357,14168.25621665155,7336.314783376557,3720.7585176467583
3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,0.1127548739314079,9973.267759626957,12725.552207923349,2030.743272544235,9187.543214502715,16724.466032884062,20053.766911090384,29241.310125593103,14756.29548046758,14485.01464512552,4511.746884486745,3329.300878206324
3.0,11.0,0.6987021565437317,39071.807447455765,51540.83876070777,67255.10367379623,14287.8049665206,118096.99987662984,181500.09602213732,195787.90098865796,118795.94243349218,76991.95855516575,37920.15110872182,63403.09614651932
3.0,12.0,0.414426177740097,10365.910036798468,62247.866342234425,9025.776560362823,0.0,92228.1480908796,92228.1480908796,92228.1480908796,71273.64290158544,20954.50518929416,10588.595152495687,0.0
3.0,13.0,0.2364649623632431,2254.784798150112,58948.51302638135,15428.95797478122,2696.397535672948,86347.632528046,86349.56182385691,89045.95935952986,74377.47100116257,14668.488358367293,12413.703560217184,1.929295810923028
3.0,14.0,2.143970251083374,70753.76372236347,58065.69218517279,32655.59442810604,51.59999040306612,120342.00131707951,199989.2968698665,200040.8968602696,90721.28661327883,109319.61024699072,38565.84652462728,79647.29555278696
3.0,15.0,0.107487253844738,5255.57680299457,3043.7157690603644,1073.4529332532738,32.983113443628234,4293.82225085404,13440.858615997446,13473.841729441072,4117.168702313638,9356.673027127435,4101.096224132865,9147.036365143404
